Comparison of the Reverse Engineering Tools Ghidra and Dyninst

Addresses found by all tools with %100 matches between symbols found: 
3408	[_init]
16050	[_fini]
Amount of addresses with %100 matches: 139

Addresses found by all tools with differences between symbols: 
3ad0	Ghidra: [FUN_00103ad0]	Dyninst: [main]	
Amount of addresses with partial matches: 1

Addresses unique to tool: Ghidra
3420	[FUN_00103420]
54a0	[entry]
5560	[_FINI_0]
55a0	[_INIT_0]
55b0	[FUN_001055b0]
55c0	[FUN_001055c0]
55e0	[FUN_001055e0]
5c70	[FUN_00105c70]
5cb0	[FUN_00105cb0]
5cf0	[FUN_00105cf0]
5d00	[FUN_00105d00]
6140	[FUN_00106140]
6170	[FUN_00106170]
61b0	[FUN_001061b0]
61c0	[FUN_001061c0]
61d0	[FUN_001061d0]
61e0	[FUN_001061e0]
6600	[FUN_00106600]
6690	[FUN_00106690]
6730	[FUN_00106730]
67d0	[FUN_001067d0]
6870	[FUN_00106870]
6910	[FUN_00106910]
69a0	[FUN_001069a0]
6a30	[FUN_00106a30]
6ac0	[FUN_00106ac0]
6ca0	[FUN_00106ca0]
6d50	[FUN_00106d50]
6de0	[FUN_00106de0]
6e70	[FUN_00106e70]
90d0	[FUN_001090d0]
9660	[FUN_00109660]
9710	[FUN_00109710]
adc0	[FUN_0010adc0]
ae00	[FUN_0010ae00]
ae40	[FUN_0010ae40]
ae90	[FUN_0010ae90]
aed0	[FUN_0010aed0]
af10	[FUN_0010af10]
af60	[FUN_0010af60]
afd0	[FUN_0010afd0]
b040	[FUN_0010b040]
b080	[FUN_0010b080]
b0c0	[FUN_0010b0c0]
b100	[FUN_0010b100]
b140	[FUN_0010b140]
b190	[FUN_0010b190]
b1e0	[FUN_0010b1e0]
b290	[FUN_0010b290]
b340	[FUN_0010b340]
b400	[FUN_0010b400]
b4b0	[FUN_0010b4b0]
b570	[FUN_0010b570]
b620	[FUN_0010b620]
b6a0	[FUN_0010b6a0]
b720	[FUN_0010b720]
b810	[FUN_0010b810]
b900	[FUN_0010b900]
b9b0	[FUN_0010b9b0]
ba70	[FUN_0010ba70]
bb20	[FUN_0010bb20]
c530	[FUN_0010c530]
c870	[FUN_0010c870]
cf70	[FUN_0010cf70]
cf80	[FUN_0010cf80]
cf90	[FUN_0010cf90]
d2b0	[FUN_0010d2b0]
d640	[FUN_0010d640]
da80	[FUN_0010da80]
dbd0	[FUN_0010dbd0]
dbe0	[FUN_0010dbe0]
df00	[FUN_0010df00]
df10	[FUN_0010df10]
df30	[FUN_0010df30]
df80	[FUN_0010df80]
dfe0	[FUN_0010dfe0]
e190	[FUN_0010e190]
e1e0	[FUN_0010e1e0]
e260	[FUN_0010e260]
e2d0	[FUN_0010e2d0]
e340	[FUN_0010e340]
e380	[FUN_0010e380]
e560	[FUN_0010e560]
ee10	[FUN_0010ee10]
ee40	[FUN_0010ee40]
ee50	[FUN_0010ee50]
ee80	[FUN_0010ee80]
eec0	[FUN_0010eec0]
fc50	[FUN_0010fc50]
fdf0	[FUN_0010fdf0]
103b0	[FUN_001103b0]
13a80	[FUN_00113a80]
13aa0	[FUN_00113aa0]
13b50	[FUN_00113b50]
13c40	[FUN_00113c40]
13c50	[FUN_00113c50]
13cf0	[FUN_00113cf0]
13d10	[FUN_00113d10]
13d20	[FUN_00113d20]
13d40	[FUN_00113d40]
13df0	[FUN_00113df0]
13e90	[FUN_00113e90]
13ea0	[FUN_00113ea0]
13f40	[FUN_00113f40]
13f50	[FUN_00113f50]
13f70	[FUN_00113f70]
14010	[FUN_00114010]
140b0	[FUN_001140b0]
140c0	[FUN_001140c0]
140e0	[FUN_001140e0]
14100	[FUN_00114100]
14110	[FUN_00114110]
14170	[FUN_00114170]
142a0	[FUN_001142a0]
14340	[FUN_00114340]
147a0	[FUN_001147a0]
147c0	[FUN_001147c0]
14920	[FUN_00114920]
149e0	[FUN_001149e0]
14a60	[FUN_00114a60]
14a90	[FUN_00114a90]
14b70	[FUN_00114b70]
14b90	[FUN_00114b90]
14d50	[FUN_00114d50]
15430	[FUN_00115430]
154e0	[FUN_001154e0]
15520	[FUN_00115520]
15540	[FUN_00115540]
15560	[FUN_00115560]
15b70	[FUN_00115b70]
15d80	[FUN_00115d80]
15e20	[FUN_00115e20]
15ea0	[FUN_00115ea0]
15fc0	[FUN_00115fc0]
16030	[FUN_00116030]
Amount of addresses unique to tool: 135

Addresses unique to tool: Dyninst
Amount of addresses unique to tool: 0

